date, package, count 
2022-11-24, bwc-react, 60
2022-12-05, bwc-react, 46 
2023-01-31, bwc-react, 59 
2023-02-28, bwc-react, 57
2023-03-31, bwc-react, 55
2023-04-28, bwc-react, 55 
